Structure,ID,Potency
C1(OC1C)[P](=O)(O)O,Compound0092,6.495
C(C1=CC=CN=C1)(=O)O,Compound0093,6.89
C(=O)(C(N)CC[Se]C)O,Compound0094,6.117
[S](C1=CC=C(C=C1)N)(C2=CC=C(C=C2)N)(=O)=O,Compound0095,2.13
C(C(C(O)CO)O)(C(O)CNC)O,Compound0096,5.931
P(CCP(CCOCC)CCOCC)(CCOCC)CCOCC.[Tc],Compound0097,4.28
C34(C(C2C(C1(C(=CC(CC1)=O)CC2)C)CC3)CCC4C(=O)C)C,Compound0098,1.45
C1(=CC(=CC=C1O)CCN)O,Compound0099,5.279
C(#C)C(C=CCl)(O)CC,Compound0100,5.513
[P](=O)(OC(C)C)(OC(C)C)F,Compound0101,5.034
